Latitude,Longitude,Foursquare Name,Distance,Popularity,Rating,Price
53.347477,-6.28525,"0           Urbanity Coffee
1           Lilliput Stores
2                  Hacienda
3        Light House Cinema
4                PHX Bistro
5       Guinness Storehouse
6                 Oxmantown
7           The Brazen Head
8    Old Jameson Distillery
9              Vicar Street
Name: name, dtype: object",0,"0    0.992885
1    0.958540
2    0.920853
3    0.990199
4    0.949454
5    0.999886
6    0.953769
7    0.999114
8    0.998857
9    0.956197
Name: popularity, dtype: float64","0    9.3
1    9.1
2    9.1
3    9.1
4    9.1
5    9.0
6    8.9
7    8.9
8    8.9
9    8.8
Name: rating, dtype: float64","0    1.0
1    NaN
2    1.0
3    NaN
4    NaN
5    3.0
6    1.0
7    2.0
8    2.0
9    NaN
Name: price, dtype: float64"
53.339005,-6.300217,"0    Irish National War Memorial Gardens
1                    Guinness Storehouse
2                        Kilmainham Gaol
3          Gravity Bar, Guinness Factory
4              Royal Hospital Kilmainham
5                      Open Gate Brewery
6                        Connoisseur Bar
7          Dublin Food Co-op, Kilmainham
8                            Story Board
9                     Groundstate Coffee
Name: name, dtype: object",0,"0    0.987542
1    0.999886
2    0.993142
3    0.999371
4    0.988342
5    0.958912
6    0.994371
7    0.876422
8    0.949540
9    0.978284
Name: popularity, dtype: float64","0    9.4
1    9.0
2    8.9
3    8.7
4    8.5
5    8.4
6    8.4
7    8.3
8    8.3
9    8.3
Name: rating, dtype: float64","0    NaN
1    3.0
2    NaN
3    2.0
4    NaN
5    2.0
6    2.0
7    NaN
8    1.0
9    1.0
Name: price, dtype: float64"
53.344153,-6.233451,"0         Apartment Grand Canal Dock
1         Third Floor Espresso (3FE)
2                  Juniors Deli Cafe
3                     Paulie's Pizza
4                         Lotts & Co
5           Bord Gáis Energy Theatre
6    Grand Canal Square (Waterfront)
7              Urban Picnic Facebook
8                           Foodgame
9                      Farmer Browns
Name: name, dtype: object",0,"0    0.953369
1    0.992485
2    0.913995
3    0.940425
4    0.976884
5    0.980513
6    0.948111
7    0.915709
8    0.939797
9    0.925881
Name: popularity, dtype: float64","0    9.1
1    9.1
2    9.0
3    9.0
4    8.9
5    8.9
6    8.7
7    8.6
8    8.6
9    8.5
Name: rating, dtype: float64","0    NaN
1    2.0
2    2.0
3    2.0
4    NaN
5    NaN
6    NaN
7    NaN
8    1.0
9    2.0
Name: price, dtype: float64"
53.334295,-6.258503,"0       St. Stephen's Green
1             Hodges Figgis
2       Merrion Square Park
3            Iveagh Gardens
4         Murphys Ice Cream
5               Bibi's Cafe
6                  P. Mac's
7    Butlers Chocolate Café
8     Nick's Coffee Company
9                 Blackbird
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999486
3    0.983256
4    0.994857
5    0.956512
6    0.973084
7    0.998714
8    0.923967
9    0.985456
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.2
3    9.2
4    9.1
5    9.1
6    9.0
7    9.0
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    1.0
5    2.0
6    2.0
7    1.0
8    1.0
9    2.0
Name: price, dtype: float64"
53.340803,-6.267732,"0           St. Stephen's Green
1                 Hodges Figgis
2             St Patrick's Park
3               The Porterhouse
4         Vintage Cocktail Club
5                 College Green
6                Iveagh Gardens
7             Murphys Ice Cream
8    Teeling Whiskey Distillery
9                Fallon & Byrne
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999257
3    0.995971
4    0.963312
5    0.998543
6    0.983256
7    0.994857
8    0.995400
9    0.985942
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.3
3    9.2
4    9.2
5    9.2
6    9.2
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    2.0
4    3.0
5    NaN
6    NaN
7    1.0
8    NaN
9    2.0
Name: price, dtype: float64"
53.351464,-6.255265,"0                            147 Deli
1               Vintage Cocktail Club
2                       College Green
3    EPIC The Irish Emigration Museum
4                    Shoe Lane Coffee
5                                BoCo
6             Gate Theatre Box Office
7                   The Winding Stair
8                      La Pausa Caffe
9                     Famine Memorial
Name: name, dtype: object",0,"0    0.977284
1    0.963312
2    0.998543
3    0.997143
4    0.989771
5    0.961255
6    0.929310
7    0.981456
8    0.977342
9    0.981713
Name: popularity, dtype: float64","0    9.4
1    9.2
2    9.2
3    9.1
4    9.0
5    9.0
6    9.0
7    9.0
8    9.0
9    8.9
Name: rating, dtype: float64","0    1.0
1    3.0
2    NaN
3    NaN
4    1.0
5    1.0
6    NaN
7    2.0
8    1.0
9    NaN
Name: price, dtype: float64"
53.333653,-6.248345,"0           St. Stephen's Green
1           Merrion Square Park
2                Iveagh Gardens
3    Third Floor Espresso (3FE)
4         Nick's Coffee Company
5                   Coffeeangel
6                Paulie's Pizza
7              Peruke & Periwig
8               Canal Bank Café
9                    Press Cafe
Name: name, dtype: object",0,"0    0.999829
1    0.999486
2    0.983256
3    0.992485
4    0.923967
5    0.985342
6    0.940425
7    0.953340
8    0.936854
9    0.918452
Name: popularity, dtype: float64","0    9.5
1    9.2
2    9.2
3    9.1
4    9.0
5    9.0
6    9.0
7    9.0
8    9.0
9    8.9
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    2.0
4    1.0
5    1.0
6    2.0
7    3.0
8    1.0
9    1.0
Name: price, dtype: float64"
53.343105,-6.277167,"0             St Patrick's Park
1               Urbanity Coffee
2               The Porterhouse
3         Vintage Cocktail Club
4    Teeling Whiskey Distillery
5               Lilliput Stores
6                Fallon & Byrne
7               Brother Hubbard
8                      Hacienda
9    Irish Film Institute (IFI)
Name: name, dtype: object",0,"0    0.999257
1    0.992885
2    0.995971
3    0.963312
4    0.995400
5    0.958540
6    0.985942
7    0.976313
8    0.920853
9    0.970627
Name: popularity, dtype: float64","0    9.3
1    9.3
2    9.2
3    9.2
4    9.1
5    9.1
6    9.1
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    1.0
2    2.0
3    3.0
4    NaN
5    NaN
6    2.0
7    2.0
8    1.0
9    2.0
Name: price, dtype: float64"
53.341428,-6.24672,"0                 St. Stephen's Green
1                       Hodges Figgis
2                 Merrion Square Park
3                       College Green
4          Apartment Grand Canal Dock
5    EPIC The Irish Emigration Museum
6          Third Floor Espresso (3FE)
7                    Shoe Lane Coffee
8              Butlers Chocolate Café
9                         Coffeeangel
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999486
3    0.998543
4    0.953369
5    0.997143
6    0.992485
7    0.989771
8    0.998714
9    0.985342
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.2
3    9.2
4    9.1
5    9.1
6    9.1
7    9.0
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    NaN
5    NaN
6    2.0
7    1.0
8    1.0
9    1.0
Name: price, dtype: float64"
53.338614,-6.248606,"0           St. Stephen's Green
1                 Hodges Figgis
2           Merrion Square Park
3                 College Green
4                Iveagh Gardens
5             Murphys Ice Cream
6    Apartment Grand Canal Dock
7    Third Floor Espresso (3FE)
8        Butlers Chocolate Café
9                   Coffeeangel
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999486
3    0.998543
4    0.983256
5    0.994857
6    0.953369
7    0.992485
8    0.998714
9    0.985342
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.2
3    9.2
4    9.2
5    9.1
6    9.1
7    9.1
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    NaN
5    1.0
6    NaN
7    2.0
8    1.0
9    1.0
Name: price, dtype: float64"
